ZipCode,YoY_2025,Exposure_2025,YoY_2024,Exposure_2024,YoY_2023,Exposure_2023,YoY_2022,Exposure_2022,YoY_2021,Exposure_2021
90032,60%,463405837,20%,289747840,12%,242011486,8%,215306581,,200113169
90033,41%,455712896,16%,323077696,7%,277870377,5%,258911732,,246115738
90034,33%,172274898,117%,129534284,19%,59815373,0%,50059489,,50092612
90035,99%,211885149,109%,106272534,9%,50880484,19%,46687110,,39295299
90036,88%,307776393,88%,163461886,35%,86861826,25%,64469494,,51422637
90037,43%,1071441231,20%,749252756,10%,626791105,5%,570540781,,541468333
90038,123%,175980373,51%,79060877,16%,52491857,-7%,45251041,,48706156
90039,69%,349793308,29%,207590633,20%,160729588,2%,134106068,,131567251
90040,77%,207362235,63%,117134328,6%,71745081,20%,67970728,,56438166
90041,94%,383533919,42%,197340064,14%,138857886,4%,121406568,,116650343
90042,66%,706312691,26%,426145898,12%,339048058,9%,302366855,,278310271
90043,57%,646806557,32%,411322299,9%,311149201,6%,286517641,,271245219
90044,55%,1345660436,26%,868588405,11%,689508134,5%,621354081,,590818311
90045,221%,98509347,13%,30685224,42%,27173734,1%,19139871,,18942204
90046,27%,3836635051,6%,3024374642,16%,2853313770,30%,2457013270,,1886399625
90047,54%,824553756,38%,533707301,12%,386532706,4%,345657342,,332093752
90048,88%,259655180,104%,137874020,13%,67686052,-9%,59808293,,65619901
90049,37%,5008191467,62%,3644617582,19%,2254618253,38%,1902102721,,1375219495
90056,134%,107093009,103%,45820265,45%,22601906,-4%,15599315,,16246692
90057,30%,116818115,10%,89687348,17%,81702204,50%,69636230,,46375814
90058,46%,233037145,70%,160108035,81%,94361050,65%,52190436,,31713684
90059,56%,476363837,15%,305186287,4%,265698545,5%,255023983,,242886130
90061,46%,327820073,17%,224079124,10%,192013226,8%,174406516,,160855270
90062,46%,623993433,13%,426638652,12%,377804802,1%,336243352,,334114304
90063,41%,804589005,18%,570397878,6%,482704547,3%,456568917,,442972389
90064,80%,149425514,132%,82985116,47%,35695431,0%,24280925,,24250612
90065,51%,842575268,34%,556537072,15%,414607836,14%,360567818,,317525374
90066,99%,184892275,68%,92976341,48%,55442475,1%,37573949,,37290771
90067,82%,10655162,86%,5858815,197%,3141645,-7%,1058932,,1141448
90068,32%,2682573740,17%,2026669207,21%,1726224742,29%,1426587916,,1104410603
90069,55%,955894141,24%,618357831,17%,499021112,41%,426401620,,301669562
90071,0%,-,-100%,-,8%,883895,0%,819750,,-
90077,29%,4571538662,21%,3546395306,14%,2923169918,31%,2561635350,,1956877289
90089,-18%,1148914,-33%,1395458,-16%,2079470,-10%,2465662,,2733341
90094,61%,12763607,591%,7946889,169%,1149250,69%,427050,,252500
90095,0%,-,-100%,-,7%,909563,0%,848209,,-
90201,94%,904947365,31%,466245927,15%,355075150,10%,308749161,,281641387
90210,27%,6289718755,13%,4953876587,16%,4373971797,37%,3761970318,,2739336991
90211,188%,201859839,71%,70077214,41%,41040353,8%,29099584,,27060880
90212,46%,147250172,163%,101172323,14%,38478689,47%,33607525,,22857458
90220,51%,512084939,37%,339594102,12%,248402023,4%,221895649,,213313318
90221,54%,637148122,30%,414924075,9%,319736000,0%,292520534,,292492116
90222,50%,357342733,14%,238530418,9%,209866846,3%,193031008,,187818180
90230,102%,97853820,56%,48383291,12%,30984637,16%,27744952,,23832971
90232,120%,71407640,42%,32387083,42%,22813140,-7%,16066463,,17336339
90240,48%,217869602,107%,147435565,15%,71068726,1%,61623225,,61113426
90241,87%,221724823,48%,118440960,15%,80295478,6%,70080262,,65974880
90242,95%,207989396,32%,106781765,16%,80821665,-1%,69708416,,70554184
90245,126%,57062648,69%,25292242,476%,14936872,-35%,2595250,,4013513
90247,116%,253418746,15%,117442056,32%,102522797,-1%,77562350,,78037546
90248,118%,85769386,49%,39431043,4%,26498707,14%,25401131,,22324613
90249,62%,106174193,39%,65371737,25%,47160704,-1%,37623594,,37958704
90250,78%,345584449,39%,194114498,10%,140022790,5%,127465696,,121179281
90254,91%,92686833,330%,48568392,16%,11291595,7%,9727877,,9080750
90255,78%,939255999,24%,527641642,14%,425953746,5%,373807599,,355605503
90260,82%,122853193,34%,67391533,5%,50178269,6%,47607594,,45048545
90262,72%,716791520,22%,417857302,10%,341409399,8%,311247182,,289513932
90265,15%,5765927390,28%,5015319484,18%,3931158397,31%,3333174729,,2538757472
90266,114%,172413621,105%,80669435,38%,39275157,32%,28544099,,21650679
90270,60%,242714551,20%,151563484,7%,126083453,7%,118090619,,110280672
90272,19%,3794095569,117%,3192861347,31%,1470176225,38%,1120456423,,810829892
90274,90%,538070932,86%,282673939,96%,152182537,30%,77672161,,59741194
90275,154%,650104056,147%,256313042,34%,103596842,15%,77393568,,67164828
90277,179%,131940272,135%,47361049,27%,20141506,9%,15906220,,14628735
90278,123%,124291851,95%,55632151,87%,28461083,49%,15195522,,10226142
90280,75%,1029468787,32%,588580735,8%,446012372,9%,411152732,,376004882
90290,11%,2870262982,7%,2591139501,13%,2419275314,14%,2145830711,,1888148513
90291,46%,180616918,54%,124085611,47%,80697622,-7%,54842699,,58891915
90292,124%,91820679,354%,41000695,-8%,9034393,4%,9830999,,9493921
90293,84%,69992156,355%,37955476,102%,8342895,-19%,4136867,,5101747
90301,51%,263404165,26%,174085637,19%,138221356,7%,115929816,,108439416
90302,86%,222288941,24%,119747290,14%,96787081,3%,84976842,,82348687
90303,57%,229070854,48%,145958009,17%,98775078,3%,84314884,,82116242
90304,41%,208505050,31%,147667468,16%,112515332,2%,97134917,,95227952
90305,68%,130936718,36%,77835608,1%,57093108,5%,56425411,,53944847
90401,51%,18712453,18%,12412828,2122%,10533470,-69%,474000,,1511667
90402,81%,358695234,168%,198190964,91%,73881609,15%,38660984,,33565770
90403,264%,180105081,122%,49430481,0%,22232778,-4%,22167745,,23131800
90404,120%,96885471,96%,44023811,56%,22457167,-1%,14407844,,14554600
90405,150%,163582801,23%,65306673,98%,53091105,2%,26801805,,26353230
90501,174%,158582283,33%,57943220,10%,43597637,2%,39539549,,38628579
90502,80%,54294164,39%,30137398,4%,21673106,79%,20934494,,11685734
90503,107%,109783711,263%,53013122,25%,14588325,11%,11642126,,10489446
90504,126%,56781871,92%,25170318,58%,13137459,-18%,8313069,,10084147
90505,75%,100676450,216%,57525667,10%,18202139,30%,16523506,,12697112
90601,91%,596387925,46%,312873689,32%,213686372,18%,161690744,,137043741
90602,103%,280822135,38%,138657023,13%,100577647,11%,88696759,,79691823
90603,107%,135341768,83%,65251483,36%,35587152,1%,26231079,,26093086
90604,90%,112385664,12%,59000719,20%,52533835,3%,43727731,,42488644
90605,74%,293212333,16%,168995428,11%,145429503,4%,130708017,,125211027
90606,60%,170594727,4%,106530455,19%,102727668,5%,86298869,,82036855
90638,131%,179618684,68%,77923065,38%,46359729,8%,33566972,,31015108
90640,83%,435397110,46%,237822153,18%,163262253,4%,138532971,,133751423
90650,55%,404922194,43%,262049040,10%,183116425,11%,166993186,,150962384
90660,62%,350026966,11%,216407497,19%,194613764,-3%,163475495,,168569070
90670,28%,85192636,173%,66474695,40%,24384542,0%,17422912,,17354942
90701,40%,51123664,49%,36447854,-8%,24392838,17%,26646447,,22848645
90703,110%,175549451,133%,83623632,44%,35851544,-14%,24968579,,28874686
90704,31%,537196878,29%,409697158,34%,318355462,82%,238268188,,131088605
90706,167%,378261689,39%,141675787,12%,101640003,2%,90532425,,88378713
90710,58%,107567122,112%,68000342,22%,32145667,1%,26270616,,25920560
90712,50%,77567688,106%,51789055,57%,25157483,-7%,15985670,,17137763
90713,97%,34182698,22%,17345492,5%,14230071,-2%,13535495,,13747293
90715,57%,63621578,22%,40418423,28%,33253872,-7%,25898454,,27925795
90716,53%,52242007,7%,34114432,11%,31861436,-1%,28766807,,29151148
90717,82%,63282874,38%,34815519,3%,25220842,22%,24502709,,20036491
90723,93%,291663881,36%,151299583,14%,111425982,8%,98151155,,90912015
90731,69%,248776639,35%,147346489,28%,109335354,6%,85464723,,80676966
90732,91%,63745921,140%,33314473,14%,13898535,1%,12164976,,12090337
90744,34%,234408442,20%,175534130,14%,146228768,2%,128658634,,125963221
90745,51%,171819387,57%,114131213,16%,72512963,0%,62523359,,62531063
90746,60%,252658486,69%,157891544,13%,93702546,7%,82604283,,77362225
90755,56%,48679778,119%,31133245,35%,14197971,14%,10526044,,9239555
90802,199%,198567613,44%,66431861,38%,46203483,15%,33416397,,29018911
90803,140%,150404953,171%,62704003,18%,23115561,54%,19648767,,12751679
90804,74%,160613612,54%,92188068,33%,60056837,21%,45272921,,37391516
90805,84%,474937363,26%,258394242,14%,204607082,6%,179038901,,168671554
90806,74%,229419544,23%,131899654,15%,106877680,7%,92588335,,86831171
90807,54%,117588991,112%,76201983,8%,35878476,9%,33153051,,30471787
90808,102%,55312584,106%,27404738,54%,13326395,9%,8650012,,7918716
90810,66%,168556367,26%,101756837,9%,80678525,3%,73713216,,71594599
90813,85%,326995989,32%,176711234,28%,134149510,6%,105104300,,99179853
90814,53%,83246597,59%,54564569,92%,34333005,0%,17914759,,17957962
90815,134%,43069118,101%,18373733,-29%,9129695,2%,12784876,,12564518
91001,19%,1128769455,47%,949313983,28%,645109130,12%,504548851,,452022247
91006,85%,835837928,111%,452049724,48%,214103533,2%,144971802,,141721841
91007,121%,484770226,118%,219095320,47%,100718295,14%,68391805,,59770756
91008,21%,276898733,40%,228084754,19%,163126436,7%,136561952,,127764082
91010,46%,291994917,106%,200235309,25%,97044714,7%,77780274,,72677341
91011,46%,2084184575,99%,1426634112,35%,717320317,20%,532443724,,441868116
91016,62%,781681937,60%,483827618,40%,303196917,5%,216960630,,206439654
91020,99%,133594384,176%,67165410,43%,24307518,37%,16991885,,12379523
91024,41%,564050278,48%,399994996,20%,269595576,6%,225174518,,213428597
91030,86%,406769636,73%,218161884,43%,125986597,9%,88303998,,81365708
91040,53%,973787391,60%,635109148,33%,397688740,10%,298335751,,270752893
91042,43%,1200660484,44%,839210690,32%,581295711,9%,439590395,,404823008
91101,248%,117568655,2%,33806276,50%,33302114,27%,22235401,,17442958
91103,54%,551709738,26%,358929888,27%,285267355,22%,224396088,,183753770
91104,119%,444575592,71%,203319265,16%,118591953,10%,102525435,,93282678
91105,52%,651819787,27%,430027350,34%,338224145,44%,252417854,,175824806
91106,178%,193629169,78%,69545095,26%,39136691,24%,31071619,,25083992
91107,70%,971743662,98%,572128745,28%,288537715,5%,225894490,,215237884
91108,61%,253022651,104%,156670906,4%,76953917,31%,73817426,,56385187
91201,74%,322531754,117%,185292421,32%,85404863,4%,64598533,,61898358
91202,81%,618214773,100%,341372456,28%,170947163,14%,133094868,,116955839
91203,67%,72369675,151%,43369105,48%,17293942,-9%,11647504,,12852531
91204,120%,85389691,47%,38837124,29%,26483025,11%,20495564,,18477300
91205,146%,218646550,42%,88816571,28%,62609704,18%,49097675,,41707842
91206,47%,1218093832,24%,825964488,22%,663978385,12%,542500476,,484449050
91207,59%,683964780,106%,430796309,26%,208870535,23%,166138226,,135073812
91208,43%,1371049272,77%,958149798,31%,542700181,13%,412768921,,364202871
91210,0%,130000,0%,-,0%,-,0%,-,,-
91214,65%,1209853416,118%,733289259,53%,336354685,23%,219700162,,178462705
91301,48%,2882374868,96%,1945171244,38%,992195002,26%,717378857,,568116970
91302,46%,5698733213,103%,3896822143,32%,1920395378,28%,1455381382,,1141302351
91303,89%,106100675,40%,56158913,18%,40026942,6%,33799573,,31792401
91304,65%,1130474222,112%,683198469,32%,321657917,18%,244424184,,207776401
91306,66%,286983857,67%,172837691,27%,103594479,11%,81631199,,73704995
91307,40%,1419643153,63%,1011010596,35%,620010512,75%,460884435,,263268467
91311,79%,1437418358,121%,804150288,32%,363126401,22%,275693990,,226432539
91316,53%,1451007255,198%,949872424,42%,318610417,25%,224769967,,179104612
91321,40%,1226415508,126%,875296960,65%,387561966,34%,234381740,,174744201
91324,84%,179870500,69%,97683092,46%,57715187,1%,39507045,,39281333
91325,80%,284138796,66%,157683055,21%,94750680,22%,78024880,,63991556
91326,93%,1732687290,161%,899561125,108%,344454597,13%,165960427,,146883714
91330,0%,-,0%,-,0%,-,0%,-,,-
91331,39%,755138975,33%,544825145,18%,408488583,9%,344751011,,316539046
91335,51%,443682850,52%,293847162,22%,193393025,8%,157900985,,145729799
91340,45%,317091562,53%,219373244,22%,142993263,6%,117361249,,110557325
91342,50%,1765447487,62%,1174602115,47%,723219729,13%,492907728,,434394906
91343,71%,352055571,38%,205509650,36%,148682522,8%,109426916,,101607735
91344,63%,962513399,98%,591958947,28%,298248152,18%,233781601,,198352985
91345,31%,131960896,76%,101097420,27%,57402644,5%,45229334,,43142609
91350,97%,1352601524,120%,687553815,54%,312656397,23%,203269365,,164813038
91351,70%,708753441,158%,417238645,83%,161911672,9%,88685386,,81209298
91352,51%,750447930,40%,497804749,23%,354629880,13%,288291428,,254260434
91354,113%,1042478340,345%,490379686,112%,110096517,40%,51918900,,37180003
91355,41%,549279850,281%,388530765,283%,101949458,125%,26631044,,11823794
91356,58%,2373364878,198%,1499802436,35%,504033429,20%,373738685,,312200385
91364,60%,2076332946,144%,1295042081,44%,531254157,14%,368058476,,321699021
91367,81%,711112326,177%,393855787,32%,142339703,17%,108219710,,92579668
91381,55%,1208771451,197%,778750383,64%,262317202,62%,160196618,,98865294
91384,41%,2294183044,64%,1623004357,32%,991567710,77%,751934251,,424224045
91387,47%,2519330538,114%,1713465549,59%,801342718,24%,505226266,,405993487
91390,46%,1882799068,72%,1291532659,25%,750314916,28%,601119741,,471273757
91401,77%,239566940,66%,135366854,45%,81409722,-3%,56013074,,57540786
91402,52%,259374075,54%,171069996,12%,111025066,8%,99113848,,91692591
91403,45%,1387156895,45%,959860582,34%,661949483,34%,493797491,,367377713
91405,68%,198243183,21%,118186859,40%,97975779,12%,70140554,,62797097
91406,84%,283456466,67%,153806007,9%,92168511,1%,84635703,,83912732
91411,70%,86927301,90%,51154600,8%,26969218,-6%,25066906,,26787099
91423,36%,1546801258,29%,1141388852,25%,887536196,37%,708409123,,517184552
91436,62%,2126142217,151%,1315345613,51%,524706630,32%,346833321,,263078655
91501,67%,479683841,107%,286858093,4%,138258328,9%,132438892,,121135314
91502,300%,38935741,26%,9744260,10%,7731486,72%,7025353,,4080637
91504,101%,660800544,110%,327942091,39%,155867911,12%,112197590,,100357689
91505,72%,121636938,83%,70791049,13%,38761409,1%,34199493,,33852706
91506,73%,84084891,51%,48614840,39%,32133934,15%,23143553,,20095724
91601,63%,169224581,47%,103999684,32%,70802058,-5%,53585121,,56432815
91602,91%,113211163,99%,59178227,105%,29753028,41%,14545091,,10283271
91604,40%,1894032725,38%,1355243639,20%,980924427,30%,817900917,,626883473
91605,61%,350859180,30%,217276941,29%,167511323,3%,129579973,,125329922
91606,79%,264271521,30%,147368796,7%,113023612,-3%,105459779,,108619494
91607,105%,133669669,202%,65074865,2%,21545320,17%,21049520,,18008679
91702,76%,548384225,63%,311555720,34%,190717222,3%,142140484,,138003502
91706,55%,448777700,25%,289721810,20%,231561584,8%,192661138,,178708309
91711,55%,581604544,101%,375163995,36%,186324086,25%,136591694,,109699087
91722,42%,130790348,36%,92169545,36%,67620852,4%,49554186,,47431977
91723,230%,126038397,72%,38203117,-1%,22181214,79%,22360816,,12511761
91724,92%,312318410,33%,162790576,28%,122432965,10%,95554949,,86523270
91731,86%,209315211,55%,112780768,16%,72910014,7%,62767948,,58453122
91732,72%,314177145,42%,182133221,16%,127847046,11%,109902922,,98971324
91733,118%,347194842,28%,159281591,34%,124372184,-1%,92716878,,93866168
91740,89%,146132639,90%,77162741,23%,40624281,30%,32936067,,25407491
91741,49%,931866398,75%,624128307,33%,357065350,20%,269029928,,224896980
91744,55%,578960750,35%,373312458,13%,276047373,2%,244236907,,239199905
91745,70%,984067329,74%,579662304,22%,333082354,18%,273202687,,230837654
91746,43%,236390775,40%,164938771,22%,118115573,6%,96710557,,91184252
91748,119%,938947688,119%,429230280,48%,195844537,15%,132522869,,115264959
91750,61%,844754523,140%,525428032,51%,219073037,36%,144958576,,106935086
91754,94%,226977279,73%,116982227,56%,67590369,7%,43440786,,40422089
91755,109%,137097476,64%,65505863,43%,39966875,3%,27918227,,27058667
91765,69%,1970923713,75%,1167413681,30%,668393516,19%,514412073,,432065621
91766,106%,631414060,78%,307152232,20%,172712614,3%,143413956,,139900699
91767,75%,242584565,42%,138800034,12%,97573858,8%,87506037,,81400093
91768,113%,261809102,24%,122712794,23%,99091486,11%,80330091,,72433927
91770,136%,429031442,43%,181907673,33%,127188371,0%,95697961,,95649207
91773,62%,683909411,73%,421482858,58%,243127940,22%,154148529,,125926098
91775,100%,133175952,89%,66675112,41%,35276388,10%,25070516,,22712187
91776,108%,285170225,103%,137388931,31%,67680365,12%,51519859,,45962973
91780,80%,205600811,121%,114484491,33%,51788346,-1%,38836469,,39374849
91789,127%,977346523,114%,430993269,31%,201715258,18%,153800834,,130525768
91790,83%,209747111,57%,114549272,4%,73044391,1%,70019312,,69278696
91791,121%,438682986,112%,198504314,23%,93709283,20%,76251891,,63797053
91792,99%,136391856,91%,68607913,26%,35903292,-3%,28545106,,29489002
91801,137%,307163286,48%,129601329,29%,87528987,0%,67957466,,68218349
91803,69%,205644305,56%,121329097,22%,77920967,12%,63862986,,56860502
93510,34%,918359542,88%,686300020,68%,365997906,76%,218099281,,123622683
93532,20%,389816187,32%,325707474,25%,247389387,41%,197392774,,140385565
93534,131%,275939005,133%,119444566,102%,51274695,-6%,25346171,,26889321
93535,113%,497619300,170%,233824042,54%,86451620,10%,56153082,,51112821
93536,114%,517927243,160%,241685689,69%,92992892,10%,55167098,,50077009
93543,68%,182202613,108%,108682778,102%,52375270,10%,25888305,,23571220
93544,25%,40243615,66%,32311040,26%,19477893,39%,15460412,,11102299
93550,73%,572801244,156%,331233526,42%,129183331,26%,90661463,,71864338
93551,69%,1169677015,107%,690640031,69%,334190435,37%,197945215,,144027163
93552,91%,303469583,134%,159248608,95%,68028496,16%,34850695,,30075043
93553,38%,60977311,94%,44117732,172%,22711314,15%,8348180,,7232854
93563,7%,15408830,50%,14394018,29%,9578486,15%,7419439,,6434122
93591,132%,78804352,126%,33986794,71%,15015856,23%,8795868,,7129849
93601,13%,272243441,31%,239921178,26%,183764978,59%,145581683,,91819336
93604,22%,628449052,24%,513242521,21%,414244248,88%,342600307,,182568852
93610,31%,17540552,66%,13397776,118%,8055585,50%,3689655,,2466571
93614,26%,1316665112,39%,1044838425,31%,751744826,73%,572012205,,330873870
93636,70%,98320418,117%,57812983,204%,26584951,14%,8744931,,7687352
93637,45%,42171231,130%,29011847,19%,12608397,90%,10599919,,5564858
93638,82%,79933215,60%,43923929,151%,27508007,104%,10961324,,5380006
93643,16%,500684268,7%,429879433,13%,402744953,26%,355849244,,281328680
93644,31%,1304603096,48%,993620381,25%,673190599,53%,540522531,,352499170
93645,12%,34933722,55%,31162365,7%,20151185,54%,18917277,,12265041
93653,18%,72831176,23%,61676734,23%,50161141,22%,40746192,,33424344
93669,20%,88839940,2%,74078276,9%,72966075,15%,66873275,,58057181
94901,77%,510658796,225%,288659208,198%,88933000,-3%,29799848,,30619270
94903,84%,319725114,320%,173716467,15%,41385070,347%,36140409,,8081652
94904,74%,359369479,131%,206293388,57%,89495527,28%,56859323,,44258664
94920,108%,254234799,152%,122031835,73%,48394542,20%,27978399,,23318751
94924,80%,51460074,37%,28645088,26%,20904040,275%,16585209,,4419387
94925,58%,262070976,97%,166229290,91%,84260571,73%,44076196,,25464788
94929,64%,31433610,164%,19205409,111%,7272717,69%,3454788,,2048712
94930,56%,430150440,140%,275498154,58%,114741697,94%,72743008,,37572930
94933,12%,60638783,9%,54264310,72%,49767112,48%,28939828,,19610186
94937,20%,467551991,12%,388449766,31%,346067696,37%,264227477,,192931745
94938,23%,69924154,82%,57078045,27%,31386050,44%,24757284,,17230683
94939,38%,224008496,191%,161812568,61%,55671802,96%,34570623,,17602144
94940,44%,35956531,44%,24898161,41%,17253013,87%,12265191,,6550977
94941,61%,1624043370,114%,1011563974,33%,471670194,21%,354640785,,292069477
94945,80%,327251659,161%,181497529,108%,69456898,80%,33451346,,18572770
94946,11%,83092350,14%,74892895,34%,65948154,188%,49165531,,17100739
94947,85%,379524709,336%,204775958,94%,46920523,242%,24231537,,7079254
94949,117%,294036944,263%,135222102,34%,37200997,73%,27770172,,16057437
94956,69%,122584718,19%,72338703,62%,60595374,24%,37441596,,30134852
94957,49%,108480066,167%,72590215,135%,27168943,20%,11547186,,9595200
94960,87%,380291651,186%,203193356,209%,70992983,21%,22975852,,19009619
94963,43%,31339096,168%,21887163,34%,8161962,80%,6083731,,3377680
94965,63%,768327228,39%,470359371,12%,339121702,17%,302250276,,258321649
94970,67%,107844879,91%,64500771,151%,33815909,76%,13450230,,7642555
94971,-14%,6762835,25%,7851116,-47%,6305719,64%,11988000,,7317000
94973,27%,88094133,-1%,69584127,100%,70484304,33%,35221285,,26475354
93623,22%,74483320,11%,61155730,7%,55073550,31%,51232863,,39104715
95306,12%,100852062,73%,90353546,16%,52290488,56%,45164362,,29021290
95311,9%,229836321,22%,210880430,11%,173111566,25%,155519744,,124488093
95318,19%,88117539,131%,73966418,25%,31951164,59%,25636579,,16085589
95338,18%,1580433377,26%,1343849084,22%,1068164608,71%,876710258,,512129255
95345,21%,105918715,12%,87511827,24%,78004016,25%,62677226,,49984642
95389,15%,319393044,17%,278072788,14%,238514760,30%,209868194,,161613777
95410,15%,64170369,21%,55664943,51%,46179511,75%,30610649,,17529181
95415,17%,93797257,35%,80145445,44%,59302227,31%,41231352,,31489159
95417,14%,8465500,25%,7424189,27%,5947198,65%,4692291,,2846001
95420,14%,32074761,26%,28181257,104%,22310227,97%,10945712,,5557389
95427,42%,23954616,24%,16817357,36%,13523296,22%,9914892,,8152362
95428,11%,35355068,-1%,31841136,39%,32077017,4%,23146434,,22349141
95429,-6%,11722321,30%,12409465,3%,9517652,12%,9222709,,8250776
95432,40%,39319334,32%,28080436,1%,21220535,67%,20942586,,12563230
95437,52%,378691423,106%,248743285,48%,120990635,105%,81689671,,39837895
95445,17%,386474623,49%,329553419,47%,220608372,92%,150051680,,78262180
95449,23%,77626828,22%,63336520,141%,51845762,48%,21512040,,14566887
95454,10%,105855841,-6%,95865699,15%,102171867,16%,89226759,,77118123
95456,8%,124960472,73%,115542633,61%,66736469,141%,41439711,,17200439
95459,14%,63255809,61%,55349123,62%,34478115,47%,21260965,,14486447
95460,35%,198692333,149%,147001948,52%,58996394,55%,38914143,,25149876
95463,-5%,17044169,0%,17980905,0%,-,0%,-,,-
95466,15%,113463059,17%,98617603,69%,84329993,80%,49784768,,27661519
95468,33%,57388274,83%,43024089,79%,23482954,79%,13088345,,7295702
95469,-2%,124211495,25%,126257409,65%,100768572,26%,60887904,,48445644
95470,34%,259828958,75%,194068243,54%,111159731,29%,72042872,,56050222
95482,44%,1105873574,92%,767900803,83%,399740518,38%,218899105,,158887028
95488,17%,19240909,22%,16380195,82%,13418191,0%,7387871,,7418154
95490,20%,728202989,20%,608478782,31%,507866662,39%,386235273,,277202560
95494,31%,60237151,5%,46058580,41%,43803541,78%,31085895,,17466714
95585,-12%,8256084,8%,9397346,36%,8669808,108%,6396948,,3077604
95587,10%,10614125,14%,9688757,39%,8514815,-19%,6104727,,7564612
93620,95%,11484293,85%,5884918,114%,3188467,57%,1492911,,951180
93635,44%,22586325,123%,15636008,-16%,7000657,337%,8382180,,1916705
95301,111%,18638900,41%,8846101,-1%,6290841,-8%,6331790,,6909687
95303,6%,1114239,6%,1052793,7%,989279,6%,925488,,873127
95315,173%,19918914,564%,7303959,0%,1099600,0%,-,,-
95317,-15%,5912697,3%,6954405,0%,6721117,-100%,-,,149340
95322,13%,12511682,473%,11103835,206%,1939174,6%,633200,,598338
95324,2283%,80148147,12%,3363000,641%,3000000,0%,405000,,-
95333,73%,4430565,58%,2558406,242%,1619280,0%,473000,,-
95334,104%,17446695,65%,8532380,137%,5173086,5%,2185052,,2089071
95340,128%,43224897,75%,18959147,71%,10843326,57%,6333874,,4027440
95341,245%,29085146,54%,8426562,124%,5476632,-8%,2449901,,2669586
95348,86%,21483896,138%,11529123,472%,4843254,-31%,846726,,1232688
95365,22%,1449138,-26%,1189325,37%,1603788,-38%,1168910,,1887999
95369,15%,15678783,115%,13616865,31%,6322141,71%,4825586,,2823487
95374,-63%,1003670,0%,2703028,0%,-,0%,-,,-
95388,82%,7261137,221%,3979205,60%,1239655,6%,776669,,731426
96006,213%,12380575,-25%,3953832,202%,5259949,47%,1743686,,1189292
96015,7%,14145239,114%,13207631,12%,6161551,340%,5482145,,1247200
96054,29%,7071242,127%,5463101,26%,2410721,27%,1911980,,1504724
96101,69%,89542834,210%,52935221,36%,17061951,94%,12561831,,6478824
96104,117%,15808933,83%,7281287,418%,3984833,10%,768746,,698120
96108,83%,10428017,232%,5709918,514%,1718563,247%,279820,,80625
96110,383%,6040225,0%,1250809,0%,-,0%,-,,-
96112,17%,5540527,60%,4721385,4%,2942988,312%,2827073,,687000
96115,24%,9951872,290%,8045521,0%,2060448,0%,-,,-
96116,19%,6145882,117%,5144431,465%,2369575,0%,419550,,-
93512,39%,2225011,-8%,1602700,17%,1733713,8%,1478242,,1362896
93517,35%,101732775,50%,75331217,79%,50322403,72%,28142637,,16408462
93529,14%,306787003,26%,268522177,39%,213899771,45%,154341736,,106801248
93541,42%,55192537,17%,38812851,87%,33078773,173%,17669447,,6473746
93546,49%,1464881461,66%,981870459,66%,590039244,132%,354713203,,152615508
96107,37%,22221284,59%,16233717,48%,10219461,477%,6913021,,1198093
96133,188%,4941003,27%,1716750,99%,1346784,5%,678177,,644200
93426,15%,362196919,20%,314153451,9%,262473812,34%,239881912,,179604831
93450,5%,10485426,12%,9969048,33%,8906746,-16%,6686290,,7974445
93901,91%,52950778,202%,27711817,213%,9166287,-9%,2932236,,3206618
93905,302%,45884162,168%,11418250,73%,4255020,42%,2465359,,1730446
93906,-22%,46592878,1240%,59575145,222%,4446563,4%,1379092,,1328211
93907,30%,628417568,36%,484076943,55%,355549114,183%,229383321,,81036614
93908,20%,774746185,44%,644197918,28%,446227171,58%,349707403,,221104555
93920,5%,242463608,19%,232018511,26%,195425776,38%,154985940,,112290359
93923,31%,2301820238,53%,1763120761,24%,1149993169,51%,927628100,,616034228
93924,26%,1499645677,37%,1193782683,19%,872478573,43%,732989977,,511376913
93925,17%,33083925,15%,28162472,33%,24499624,161%,18386687,,7046555
93926,63%,7348481,8%,4503844,0%,4152772,48%,4169825,,2823850
93927,12%,61681323,7%,54875991,10%,51442213,163%,46945842,,17851853
93930,57%,155923598,145%,99272784,27%,40459123,80%,31841746,,17657789
93932,9%,5870516,22%,5377564,-13%,4413643,3%,5094279,,4959425
93933,49%,56268604,204%,37686939,133%,12378370,657%,5315792,,702562
93940,25%,889421752,65%,713124577,45%,431995856,60%,297562339,,185983100
93950,159%,84117613,422%,32454562,201%,6213870,338%,2061971,,470910
93953,37%,311621368,84%,227317503,18%,123681592,78%,104805881,,59036644
93954,29%,4330459,0%,3348632,0%,-,0%,-,,-
93955,412%,58919795,144%,11515967,201%,4712628,0%,1568100,,-
93960,84%,49484488,2%,26919847,37%,26295257,129%,19228946,,8408896
93962,-2%,1546442,0%,1578000,0%,-,0%,-,,-
95004,43%,136949464,107%,95508823,86%,46081858,65%,24745361,,15028135
95012,145%,53398222,29%,21761761,94%,16872398,157%,8715163,,3396925
95039,198%,8518909,372%,2856250,65%,605000,7%,366095,,342500
94503,115%,80833165,240%,37591120,9%,11040230,68%,10111000,,6000882
94508,25%,618349460,25%,496546514,33%,395705663,147%,297920837,,120703395
94515,36%,1168922836,34%,859567621,41%,640508725,85%,454804719,,245517966
