ZipCode,YoY_2025,Exposure_2025,YoY_2024,Exposure_2024,YoY_2023,Exposure_2023,YoY_2022,Exposure_2022,YoY_2021,Exposure_2021
95251,15%,129577063,10%,112803578,15%,102738572,7%,89081609,,83179257
95252,26%,623483081,32%,494467742,66%,375551929,105%,226251775,,110264018
95254,6%,18288580,0%,17245352,0%,-,0%,-,,-
95255,8%,296814136,16%,274588453,16%,237568956,7%,205497865,,192852353
95257,4%,99721978,4%,96298472,6%,92368946,20%,87498772,,72737729
95912,117%,5003714,-61%,2302980,68%,5888956,78%,3498998,,1967500
95932,106%,9690681,65%,4714632,-20%,2851524,1382%,3561047,,240353
95955,0%,-,-100%,-,6%,136347,7%,128251,,119680
95970,174%,3366295,79%,1230045,7%,685541,7%,642201,,599978
95979,12%,21858091,52%,19576544,23%,12879925,229%,10482381,,3182824
95987,264%,7885059,-30%,2166360,113%,3077777,375%,1443508,,303855
94505,63%,44843172,322%,27489684,135%,6510250,125%,2772150,,1232259
94506,98%,2427785254,352%,1226146776,196%,271241018,56%,91710759,,58679794
94507,106%,1943831043,322%,942048747,116%,223283430,67%,103349526,,61983966
94509,185%,246213399,171%,86349328,133%,31834701,1%,13658621,,13528745
94511,22%,27858677,29%,22843800,45%,17679843,0%,12221418,,-
94513,133%,228167764,259%,97758039,114%,27197487,84%,12684445,,6911852
94514,17%,5471211,298%,4693135,-58%,1179677,9%,2795743,,2564611
94517,59%,364172538,171%,229033567,81%,84644525,612%,46778832,,6570314
94518,44%,35001915,141%,24269155,33%,10056215,43%,7568341,,5292231
94519,53%,13985959,135%,9158002,-18%,3896212,8%,4726979,,4390307
94520,103%,62570331,678%,30839242,147%,3961752,-62%,1605738,,4173192
94521,114%,133368819,231%,62326011,242%,18836788,109%,5508677,,2640780
94523,73%,186907448,529%,108338029,146%,17216075,-2%,6985592,,7147153
94525,96%,114705896,200%,58587054,183%,19511327,-25%,6898826,,9217356
94526,132%,1326346528,515%,572036324,82%,92962908,141%,51012686,,21171549
